entry_id,symbol,direction,signal_index,signal_time,signal_datetime,entry_index,entry_time,entry_datetime,entry_price,exit_index,exit_time,exit_datetime,exit_price,duration_bars,peak_favorable_price,max_adverse_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,label
27,NEARUSDT,SELL,5263,1765358100000,2025-12-10 09:15:00,5264,1765359000000,2025-12-10 09:30:00,1.756,5557,1765623600000,2025-12-13 11:00:00,1.676,294,1.582,1.864,9.909,6.15,4.556,win
28,NEARUSDT,BUY,5557,1765622700000,2025-12-13 10:45:00,5558,1765623600000,2025-12-13 11:00:00,1.676,5639,1765697400000,2025-12-14 07:30:00,1.63,82,1.684,1.625,0.477,3.043,-2.745,lose
29,NEARUSDT,SELL,5639,1765696500000,2025-12-14 07:15:00,5640,1765697400000,2025-12-14 07:30:00,1.63,5887,1765920600000,2025-12-16 21:30:00,1.59,248,1.487,1.646,8.773,0.982,2.454,win
30,NEARUSDT,BUY,5887,1765919700000,2025-12-16 21:15:00,5888,1765920600000,2025-12-16 21:30:00,1.59,5972,1765997100000,2025-12-17 18:45:00,1.485,85,1.613,1.477,1.447,7.107,-6.604,lose
31,NEARUSDT,SELL,5972,1765996200000,2025-12-17 18:30:00,5973,1765997100000,2025-12-17 18:45:00,1.485,6057,1766073600000,2025-12-18 16:00:00,1.567,85,1.451,1.589,2.29,7.003,-5.522,win
32,NEARUSDT,BUY,6057,1766072700000,2025-12-18 15:45:00,6058,1766073600000,2025-12-18 16:00:00,1.567,6080,1766094300000,2025-12-18 21:45:00,1.425,23,1.6,1.421,2.106,9.317,-9.062,win
33,NEARUSDT,SELL,6080,1766093400000,2025-12-18 21:30:00,6081,1766094300000,2025-12-18 21:45:00,1.425,6156,1766162700000,2025-12-19 16:45:00,1.542,76,1.404,1.546,1.474,8.491,-8.211,lose
34,NEARUSDT,BUY,6156,1766161800000,2025-12-19 16:30:00,6157,1766162700000,2025-12-19 16:45:00,1.542,6336,1766324700000,2025-12-21 13:45:00,1.468,180,1.56,1.466,1.167,4.929,-4.799,lose
35,NEARUSDT,SELL,6336,1766323800000,2025-12-21 13:30:00,6337,1766324700000,2025-12-21 13:45:00,1.468,6404,1766385900000,2025-12-22 06:45:00,1.532,68,1.453,1.543,1.022,5.109,-4.36,lose
36,NEARUSDT,BUY,6404,1766385000000,2025-12-22 06:30:00,6405,1766385900000,2025-12-22 06:45:00,1.532,6483,1766457000000,2025-12-23 02:30:00,1.503,79,1.586,1.49,3.525,2.742,-1.893,win
37,NEARUSDT,SELL,6483,1766456100000,2025-12-23 02:15:00,6484,1766457000000,2025-12-23 02:30:00,1.503,6685,1766638800000,2025-12-25 05:00:00,1.509,202,1.434,1.531,4.591,1.863,-0.399,win
38,NEARUSDT,BUY,6685,1766637900000,2025-12-25 04:45:00,6686,1766638800000,2025-12-25 05:00:00,1.509,6762,1766708100000,2025-12-26 00:15:00,1.436,77,1.511,1.431,0.133,5.169,-4.838,lose
39,NEARUSDT,SELL,6762,1766707200000,2025-12-26 00:00:00,6763,1766708100000,2025-12-26 00:15:00,1.436,6776,1766720700000,2025-12-26 03:45:00,1.524,14,1.43,1.542,0.418,7.382,-6.128,lose
40,NEARUSDT,BUY,6776,1766719800000,2025-12-26 03:30:00,6777,1766720700000,2025-12-26 03:45:00,1.524,7041,1766959200000,2025-12-28 22:00:00,1.559,265,1.615,1.485,5.971,2.559,2.297,win
41,NEARUSDT,SELL,7041,1766958300000,2025-12-28 21:45:00,7042,1766959200000,2025-12-28 22:00:00,1.559,7394,1767276900000,2026-01-01 14:15:00,1.555,353,1.467,1.611,5.901,3.335,0.257,win
42,NEARUSDT,BUY,7394,1767276000000,2026-01-01 14:00:00,7395,1767276900000,2026-01-01 14:15:00,1.555,7968,1767793500000,2026-01-07 13:45:00,1.753,574,1.84,1.543,18.328,0.772,12.733,win
43,NEARUSDT,SELL,7968,1767792600000,2026-01-07 13:30:00,7969,1767793500000,2026-01-07 13:45:00,1.753,8406,1768187700000,2026-01-12 03:15:00,1.763,438,1.656,1.764,5.533,0.627,-0.57,win
44,NEARUSDT,BUY,8406,1768186800000,2026-01-12 03:00:00,8407,1768187700000,2026-01-12 03:15:00,1.763,8446,1768223700000,2026-01-12 13:15:00,1.662,40,1.769,1.66,0.34,5.842,-5.729,lose
45,NEARUSDT,SELL,8446,1768222800000,2026-01-12 13:00:00,8447,1768223700000,2026-01-12 13:15:00,1.662,8526,1768295700000,2026-01-13 09:15:00,1.745,80,1.643,1.753,1.143,5.475,-4.994,lose
46,NEARUSDT,BUY,8526,1768294800000,2026-01-13 09:00:00,8527,1768295700000,2026-01-13 09:15:00,1.745,8696,1768448700000,2026-01-15 03:45:00,1.748,170,1.894,1.74,8.539,0.287,0.172,win
47,NEARUSDT,SELL,8696,1768447800000,2026-01-15 03:30:00,8697,1768448700000,2026-01-15 03:45:00,1.748,8904,1768635900000,2026-01-17 07:45:00,1.767,208,1.672,1.812,4.348,3.661,-1.087,win
48,NEARUSDT,BUY,8904,1768635000000,2026-01-17 07:30:00,8905,1768635900000,2026-01-17 07:45:00,1.767,8985,1768708800000,2026-01-18 04:00:00,1.721,81,1.809,1.714,2.377,2.999,-2.603,win
49,NEARUSDT,SELL,8985,1768707900000,2026-01-18 03:45:00,8986,1768708800000,2026-01-18 04:00:00,1.721,9922,1769552100000,2026-01-27 22:15:00,1.491,937,1.408,1.741,18.187,1.162,13.364,win
50,NEARUSDT,BUY,9922,1769551200000,2026-01-27 22:00:00,9923,1769552100000,2026-01-27 22:15:00,1.491,10053,1769670000000,2026-01-29 07:00:00,1.453,131,1.501,1.434,0.671,3.823,-2.549,lose
51,NEARUSDT,SELL,10053,1769669100000,2026-01-29 06:45:00,10054,1769670000000,2026-01-29 07:00:00,1.453,10476,1770050700000,2026-02-02 16:45:00,1.232,423,1.09,1.454,24.983,0.069,15.21,win
52,NEARUSDT,BUY,10476,1770049800000,2026-02-02 16:30:00,10477,1770050700000,2026-02-02 16:45:00,1.232,10576,1770140700000,2026-02-03 17:45:00,1.151,100,1.236,1.151,0.325,6.575,-6.575,lose
53,NEARUSDT,SELL,10576,1770139800000,2026-02-03 17:30:00,10577,1770140700000,2026-02-03 17:45:00,1.151,10858,1770394500000,2026-02-06 16:15:00,1.077,282,0.84,1.236,27.02,7.385,6.429,win
54,NEARUSDT,BUY,10858,1770393600000,2026-02-06 16:00:00,10859,1770394500000,2026-02-06 16:15:00,1.077,11063,1770579000000,2026-02-08 19:30:00,1.048,205,1.113,1.029,3.343,4.457,-2.693,win
55,NEARUSDT,SELL,11063,1770578100000,2026-02-08 19:15:00,11064,1770579000000,2026-02-08 19:30:00,1.048,11175,1770679800000,2026-02-09 23:30:00,1.032,112,0.985,1.063,6.011,1.431,1.527,win
56,NEARUSDT,BUY,11175,1770678900000,2026-02-09 23:15:00,11176,1770679800000,2026-02-09 23:30:00,1.032,11208,1770709500000,2026-02-10 07:45:00,0.997,33,1.037,0.982,0.484,4.845,-3.391,lose
57,NEARUSDT,SELL,11208,1770708600000,2026-02-10 07:30:00,11209,1770709500000,2026-02-10 07:45:00,0.997,11409,1770890400000,2026-02-12 10:00:00,0.996,201,0.938,1.008,5.918,1.103,0.1,win
58,NEARUSDT,BUY,11409,1770889500000,2026-02-12 09:45:00,11410,1770890400000,2026-02-12 10:00:00,0.996,11443,1770921000000,2026-02-12 18:30:00,0.948,34,1.011,0.933,1.506,6.325,-4.819,lose
59,NEARUSDT,SELL,11443,1770920100000,2026-02-12 18:15:00,11444,1770921000000,2026-02-12 18:30:00,0.948,11524,1770993900000,2026-02-13 14:45:00,0.999,81,0.939,1.007,0.949,6.224,-5.38,lose
60,NEARUSDT,BUY,11524,1770993000000,2026-02-13 14:30:00,11525,1770993900000,2026-02-13 14:45:00,0.999,11736,1771184700000,2026-02-15 19:45:00,1.038,212,1.102,0.993,10.31,0.601,3.904,win
61,NEARUSDT,SELL,11736,1771183800000,2026-02-15 19:30:00,11737,1771184700000,2026-02-15 19:45:00,1.038,12211,1771612200000,2026-02-20 18:30:00,1.038,475,0.98,1.074,5.588,3.468,0.0,win
62,NEARUSDT,BUY,12211,1771611300000,2026-02-20 18:15:00,12212,1771612200000,2026-02-20 18:30:00,1.038,12339,1771727400000,2026-02-22 02:30:00,1.034,128,1.108,1.032,6.744,0.578,-0.385,win
63,NEARUSDT,SELL,12339,1771726500000,2026-02-22 02:15:00,12340,1771727400000,2026-02-22 02:30:00,1.034,12654,1772010900000,2026-02-25 09:15:00,1.012,315,0.951,1.036,8.027,0.193,2.128,win
64,NEARUSDT,BUY,12654,1772010000000,2026-02-25 09:00:00,12655,1772010900000,2026-02-25 09:15:00,1.012,12780,1772124300000,2026-02-26 16:45:00,1.1,126,1.262,1.008,24.704,0.395,8.696,win
65,NEARUSDT,SELL,12780,1772123400000,2026-02-26 16:30:00,12781,1772124300000,2026-02-26 16:45:00,1.1,12991,1772314200000,2026-02-28 21:30:00,1.15,211,1.027,1.162,6.636,5.636,-4.545,win
66,NEARUSDT,BUY,12991,1772313300000,2026-02-28 21:15:00,12992,1772314200000,2026-02-28 21:30:00,1.15,13386,1772669700000,2026-03-05 00:15:00,1.293,395,1.453,1.112,26.348,3.304,12.435,win
67,NEARUSDT,SELL,13386,1772668800000,2026-03-05 00:00:00,13387,1772669700000,2026-03-05 00:15:00,1.293,13731,1772980200000,2026-03-08 14:30:00,1.23,345,1.193,1.328,7.734,2.707,4.872,win
68,NEARUSDT,BUY,13731,1772979300000,2026-03-08 14:15:00,13732,1772980200000,2026-03-08 14:30:00,1.23,14274,1773468900000,2026-03-14 06:15:00,1.316,543,1.422,1.187,15.61,3.496,6.992,win
69,NEARUSDT,SELL,14274,1773468000000,2026-03-14 06:00:00,14275,1773468900000,2026-03-14 06:15:00,1.316,14355,1773541800000,2026-03-15 02:30:00,1.344,81,1.298,1.356,1.368,3.04,-2.128,lose
70,NEARUSDT,BUY,14355,1773540900000,2026-03-15 02:15:00,14356,1773541800000,2026-03-15 02:30:00,1.344,14689,1773842400000,2026-03-18 14:00:00,1.407,334,1.509,1.324,12.277,1.488,4.687,win
71,NEARUSDT,SELL,14689,1773841500000,2026-03-18 13:45:00,14690,1773842400000,2026-03-18 14:00:00,1.407,15187,1774290600000,2026-03-23 18:30:00,1.302,498,1.25,1.409,11.158,0.142,7.463,win
72,NEARUSDT,BUY,15187,1774289700000,2026-03-23 18:15:00,15188,1774290600000,2026-03-23 18:30:00,1.302,15333,1774422000000,2026-03-25 07:00:00,1.276,146,1.329,1.264,2.074,2.919,-1.997,win
73,NEARUSDT,SELL,15333,1774421100000,2026-03-25 06:45:00,15334,1774422000000,2026-03-25 07:00:00,1.276,15803,1774845000000,2026-03-30 04:30:00,1.196,470,1.129,1.311,11.52,2.743,6.27,win
74,NEARUSDT,BUY,15803,1774844100000,2026-03-30 04:15:00,15804,1774845000000,2026-03-30 04:30:00,1.196,15859,1774895400000,2026-03-30 18:30:00,1.163,56,1.224,1.156,2.341,3.344,-2.759,win
75,NEARUSDT,SELL,15859,1774894500000,2026-03-30 18:15:00,15860,1774895400000,2026-03-30 18:30:00,1.163,15949,1774976400000,2026-03-31 17:00:00,1.195,90,1.148,1.203,1.29,3.439,-2.752,lose
76,NEARUSDT,BUY,15949,1774975500000,2026-03-31 16:45:00,15950,1774976400000,2026-03-31 17:00:00,1.195,16086,1775099700000,2026-04-02 03:15:00,1.161,137,1.229,1.156,2.845,3.264,-2.845,win
77,NEARUSDT,SELL,16086,1775098800000,2026-04-02 03:00:00,16087,1775099700000,2026-04-02 03:15:00,1.161,16195,1775197800000,2026-04-03 06:30:00,1.189,109,1.138,1.192,1.981,2.67,-2.412,lose
