entry_id,symbol,direction,signal_index,signal_time,signal_datetime,entry_index,entry_time,entry_datetime,entry_price,exit_index,exit_time,exit_datetime,exit_price,duration_bars,peak_favorable_price,max_adverse_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,label
23,ETHUSDT,SELL,4218,1764417600000,2025-11-29 12:00:00,4219,1764418500000,2025-11-29 12:15:00,2993.33,4325,1764514800000,2025-11-30 15:00:00,3036.64,107,2960.01,3052.21,1.113,1.967,-1.447,lose
24,ETHUSDT,BUY,4325,1764513900000,2025-11-30 14:45:00,4326,1764514800000,2025-11-30 15:00:00,3036.64,4363,1764549000000,2025-12-01 00:30:00,2891.77,38,3048.44,2877.77,0.389,5.232,-4.771,lose
25,ETHUSDT,SELL,4363,1764548100000,2025-12-01 00:15:00,4364,1764549000000,2025-12-01 00:30:00,2891.77,4516,1764686700000,2025-12-02 14:45:00,2885.99,153,2718.07,2894.97,6.007,0.111,0.2,win
26,ETHUSDT,BUY,4516,1764685800000,2025-12-02 14:30:00,4517,1764686700000,2025-12-02 14:45:00,2885.99,4805,1764946800000,2025-12-05 15:00:00,3102.42,289,3239.27,2882.29,12.241,0.128,7.499,win
27,ETHUSDT,SELL,4805,1764945900000,2025-12-05 14:45:00,4806,1764946800000,2025-12-05 15:00:00,3102.42,5014,1765134900000,2025-12-07 19:15:00,3129.02,209,2903.75,3157.0,6.404,1.759,-0.857,win
28,ETHUSDT,BUY,5014,1765134000000,2025-12-07 19:00:00,5015,1765134900000,2025-12-07 19:15:00,3129.02,5333,1765422000000,2025-12-11 03:00:00,3209.79,319,3446.12,3010.0,10.134,3.804,2.581,win
29,ETHUSDT,SELL,5333,1765421100000,2025-12-11 02:45:00,5334,1765422000000,2025-12-11 03:00:00,3209.79,5751,1765798200000,2025-12-15 11:30:00,3158.6,418,3022.51,3272.43,5.835,1.952,1.595,win
30,ETHUSDT,BUY,5751,1765797300000,2025-12-15 11:15:00,5752,1765798200000,2025-12-15 11:30:00,3158.6,5768,1765813500000,2025-12-15 15:45:00,3011.82,17,3159.01,2985.0,0.013,5.496,-4.647,lose
31,ETHUSDT,SELL,5768,1765812600000,2025-12-15 15:30:00,5769,1765813500000,2025-12-15 15:45:00,3011.82,6050,1766067300000,2025-12-18 14:15:00,2934.57,282,2789.52,3030.0,7.381,0.604,2.565,win
32,ETHUSDT,BUY,6050,1766066400000,2025-12-18 14:00:00,6051,1766067300000,2025-12-18 14:15:00,2934.57,6468,1766443500000,2025-12-22 22:45:00,2992.43,418,3077.99,2772.97,4.887,5.507,1.972,win
