entry_id,symbol,direction,signal_index,signal_time,signal_datetime,entry_index,entry_time,entry_datetime,entry_price,exit_index,exit_time,exit_datetime,exit_price,duration_bars,peak_favorable_price,max_adverse_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,label
24,DOGEUSDT,BUY,3325,1763613900000,2025-11-20 04:45:00,3326,1763614800000,2025-11-20 05:00:00,0.1584,3376,1763660700000,2025-11-20 17:45:00,0.148,51,0.1597,0.1479,0.852,6.654,-6.535,lose
25,DOGEUSDT,SELL,3376,1763659800000,2025-11-20 17:30:00,3377,1763660700000,2025-11-20 17:45:00,0.148,3612,1763873100000,2025-11-23 04:45:00,0.1437,236,0.1332,0.1531,10.051,3.418,2.905,win
26,DOGEUSDT,BUY,3612,1763872200000,2025-11-23 04:30:00,3613,1763873100000,2025-11-23 04:45:00,0.1437,3848,1764085500000,2025-11-25 15:45:00,0.1483,236,0.1539,0.1419,7.082,1.294,3.145,win
27,DOGEUSDT,SELL,3848,1764084600000,2025-11-25 15:30:00,3849,1764085500000,2025-11-25 15:45:00,0.1483,3953,1764180000000,2025-11-26 18:00:00,0.1557,105,0.1475,0.156,0.492,5.214,-4.998,lose
28,DOGEUSDT,BUY,3953,1764179100000,2025-11-26 17:45:00,3954,1764180000000,2025-11-26 18:00:00,0.1557,4081,1764295200000,2025-11-28 02:00:00,0.1502,128,0.1567,0.15,0.681,3.655,-3.527,lose
29,DOGEUSDT,SELL,4081,1764294300000,2025-11-28 01:45:00,4082,1764295200000,2025-11-28 02:00:00,0.1502,4515,1764685800000,2025-12-02 14:30:00,0.1389,434,0.1316,0.1555,12.339,3.529,7.518,win
30,DOGEUSDT,BUY,4515,1764684900000,2025-12-02 14:15:00,4516,1764685800000,2025-12-02 14:30:00,0.1389,4751,1764898200000,2025-12-05 01:30:00,0.1479,236,0.1534,0.1386,10.426,0.194,6.523,win
31,DOGEUSDT,SELL,4751,1764897300000,2025-12-05 01:15:00,4752,1764898200000,2025-12-05 01:30:00,0.1479,5021,1765141200000,2025-12-07 21:00:00,0.1421,270,0.1348,0.1483,8.902,0.223,3.981,win
32,DOGEUSDT,BUY,5021,1765140300000,2025-12-07 20:45:00,5022,1765141200000,2025-12-07 21:00:00,0.1421,5175,1765279800000,2025-12-09 11:30:00,0.1402,154,0.145,0.1358,2.063,4.435,-1.323,win
33,DOGEUSDT,SELL,5175,1765278900000,2025-12-09 11:15:00,5176,1765279800000,2025-12-09 11:30:00,0.1402,5194,1765296900000,2025-12-09 16:15:00,0.1492,19,0.1401,0.1494,0.064,6.592,-6.399,lose
34,DOGEUSDT,BUY,5194,1765296000000,2025-12-09 16:00:00,5195,1765296900000,2025-12-09 16:15:00,0.1492,5321,1765411200000,2025-12-11 00:00:00,0.1432,127,0.1531,0.1422,2.668,4.64,-3.962,win
35,DOGEUSDT,SELL,5321,1765410300000,2025-12-10 23:45:00,5322,1765411200000,2025-12-11 00:00:00,0.1432,5562,1765628100000,2025-12-13 12:15:00,0.1396,241,0.1342,0.1435,6.339,0.195,2.52,win
36,DOGEUSDT,BUY,5562,1765627200000,2025-12-13 12:00:00,5563,1765628100000,2025-12-13 12:15:00,0.1396,5657,1765713600000,2025-12-14 12:00:00,0.1367,95,0.14,0.1356,0.244,2.858,-2.084,lose
37,DOGEUSDT,SELL,5657,1765712700000,2025-12-14 11:45:00,5658,1765713600000,2025-12-14 12:00:00,0.1367,5895,1765927800000,2025-12-16 23:30:00,0.1315,238,0.1265,0.1384,7.446,1.221,3.811,win
38,DOGEUSDT,BUY,5895,1765926900000,2025-12-16 23:15:00,5896,1765927800000,2025-12-16 23:30:00,0.1315,5972,1765997100000,2025-12-17 18:45:00,0.1258,77,0.1363,0.1252,3.627,4.768,-4.365,win
39,DOGEUSDT,SELL,5972,1765996200000,2025-12-17 18:30:00,5973,1765997100000,2025-12-17 18:45:00,0.1258,6120,1766130300000,2025-12-19 07:45:00,0.1278,148,0.1198,0.1307,4.707,3.904,-1.59,win
40,DOGEUSDT,BUY,6120,1766129400000,2025-12-19 07:30:00,6121,1766130300000,2025-12-19 07:45:00,0.1278,6342,1766330100000,2025-12-21 15:15:00,0.1291,222,0.1335,0.1274,4.477,0.29,1.025,win
41,DOGEUSDT,SELL,6342,1766329200000,2025-12-21 15:00:00,6343,1766330100000,2025-12-21 15:15:00,0.1291,6413,1766394000000,2025-12-22 09:00:00,0.1322,71,0.1289,0.1342,0.139,3.951,-2.433,lose
42,DOGEUSDT,BUY,6413,1766393100000,2025-12-22 08:45:00,6414,1766394000000,2025-12-22 09:00:00,0.1322,6533,1766502000000,2025-12-23 15:00:00,0.1288,120,0.1353,0.1278,2.36,3.328,-2.556,win
43,DOGEUSDT,SELL,6533,1766501100000,2025-12-23 14:45:00,6534,1766502000000,2025-12-23 15:00:00,0.1288,6970,1766895300000,2025-12-28 04:15:00,0.1241,437,0.1205,0.1309,6.458,1.583,3.671,win
44,DOGEUSDT,BUY,6970,1766894400000,2025-12-28 04:00:00,6971,1766895300000,2025-12-28 04:15:00,0.1241,7109,1767020400000,2025-12-29 15:00:00,0.1236,139,0.128,0.1224,3.134,1.362,-0.387,win
45,DOGEUSDT,SELL,7109,1767019500000,2025-12-29 14:45:00,7110,1767020400000,2025-12-29 15:00:00,0.1236,7377,1767261600000,2026-01-01 10:00:00,0.1203,268,0.1153,0.1254,6.705,1.44,2.661,win
46,DOGEUSDT,BUY,7377,1767260700000,2026-01-01 09:45:00,7378,1767261600000,2026-01-01 10:00:00,0.1203,7891,1767724200000,2026-01-06 18:30:00,0.1451,514,0.1566,0.1202,30.098,0.141,20.542,win
47,DOGEUSDT,SELL,7891,1767723300000,2026-01-06 18:15:00,7892,1767724200000,2026-01-06 18:30:00,0.1451,8547,1768314600000,2026-01-13 14:30:00,0.1406,656,0.1348,0.154,7.045,6.191,3.054,win
48,DOGEUSDT,BUY,8547,1768313700000,2026-01-13 14:15:00,8548,1768314600000,2026-01-13 14:30:00,0.1406,8696,1768448700000,2026-01-15 03:45:00,0.1427,149,0.1513,0.1393,7.566,0.946,1.444,win
