entry_id,symbol,direction,signal_index,signal_time,signal_datetime,entry_index,entry_time,entry_datetime,entry_price,exit_index,exit_time,exit_datetime,exit_price,duration_bars,peak_favorable_price,max_adverse_price,max_roe_pct,max_stoploss_pct,net_pnl_pct,label
39,BNBUSDT,SELL,6711,1766661300000,2025-12-25 11:15:00,6712,1766662200000,2025-12-25 11:30:00,838.2,6892,1766825100000,2025-12-27 08:45:00,841.8,181,821.01,847.5,2.051,1.11,-0.429,win
40,BNBUSDT,BUY,6892,1766824200000,2025-12-27 08:30:00,6893,1766825100000,2025-12-27 08:45:00,841.8,7098,1767010500000,2025-12-29 12:15:00,848.05,206,872.75,837.48,3.677,0.513,0.742,win
41,BNBUSDT,SELL,7098,1767009600000,2025-12-29 12:00:00,7099,1767010500000,2025-12-29 12:15:00,848.05,7212,1767113100000,2025-12-30 16:45:00,859.57,114,846.39,864.67,0.196,1.96,-1.358,lose
42,BNBUSDT,BUY,7212,1767112200000,2025-12-30 16:30:00,7213,1767113100000,2025-12-30 16:45:00,859.57,7387,1767270600000,2026-01-01 12:30:00,857.24,175,878.29,856.24,2.178,0.387,-0.271,win
43,BNBUSDT,SELL,7387,1767269700000,2026-01-01 12:15:00,7388,1767270600000,2026-01-01 12:30:00,857.24,7472,1767347100000,2026-01-02 09:45:00,870.88,85,856.6,870.9,0.075,1.593,-1.591,lose
44,BNBUSDT,BUY,7472,1767346200000,2026-01-02 09:30:00,7473,1767347100000,2026-01-02 09:45:00,870.88,7979,1767803400000,2026-01-07 16:30:00,902.0,507,924.84,865.59,6.196,0.607,3.573,win
45,BNBUSDT,SELL,7979,1767802500000,2026-01-07 16:15:00,7980,1767803400000,2026-01-07 16:30:00,902.0,8206,1768007700000,2026-01-10 01:15:00,899.78,227,875.0,905.36,2.993,0.373,0.246,win
46,BNBUSDT,BUY,8206,1768006800000,2026-01-10 01:00:00,8207,1768007700000,2026-01-10 01:15:00,899.78,8380,1768164300000,2026-01-11 20:45:00,901.37,174,918.0,898.67,2.025,0.123,0.177,win
47,BNBUSDT,SELL,8380,1768163400000,2026-01-11 20:30:00,8381,1768164300000,2026-01-11 20:45:00,901.37,8549,1768316400000,2026-01-13 15:00:00,910.98,169,894.06,915.68,0.811,1.588,-1.066,lose
48,BNBUSDT,BUY,8549,1768315500000,2026-01-13 14:45:00,8550,1768316400000,2026-01-13 15:00:00,910.98,8765,1768510800000,2026-01-15 21:00:00,925.94,216,955.65,909.17,4.904,0.199,1.642,win
49,BNBUSDT,SELL,8765,1768509900000,2026-01-15 20:45:00,8766,1768510800000,2026-01-15 21:00:00,925.94,8915,1768645800000,2026-01-17 10:30:00,942.75,150,923.82,944.08,0.229,1.959,-1.815,lose
50,BNBUSDT,BUY,8915,1768644900000,2026-01-17 10:15:00,8916,1768645800000,2026-01-17 10:30:00,942.75,9066,1768781700000,2026-01-19 00:15:00,913.66,151,960.5,900.67,1.883,4.464,-3.086,lose
51,BNBUSDT,SELL,9066,1768780800000,2026-01-19 00:00:00,9067,1768781700000,2026-01-19 00:15:00,913.66,9396,1769078700000,2026-01-22 10:45:00,897.49,330,864.5,933.6,5.381,2.182,1.77,win
52,BNBUSDT,BUY,9396,1769077800000,2026-01-22 10:30:00,9397,1769078700000,2026-01-22 10:45:00,897.49,9625,1769284800000,2026-01-24 20:00:00,888.59,229,905.78,878.52,0.924,2.114,-0.992,lose
53,BNBUSDT,SELL,9625,1769283900000,2026-01-24 19:45:00,9626,1769284800000,2026-01-24 20:00:00,888.59,9842,1769480100000,2026-01-27 02:15:00,882.96,217,856.03,890.11,3.664,0.171,0.634,win
54,BNBUSDT,BUY,9842,1769479200000,2026-01-27 02:00:00,9843,1769480100000,2026-01-27 02:15:00,882.96,10079,1769693400000,2026-01-29 13:30:00,892.68,237,909.98,877.23,3.06,0.649,1.101,win
55,BNBUSDT,SELL,10079,1769692500000,2026-01-29 13:15:00,10080,1769693400000,2026-01-29 13:30:00,892.68,10534,1770102900000,2026-02-03 07:15:00,780.16,455,728.53,893.0,18.388,0.036,12.605,win
56,BNBUSDT,BUY,10534,1770102000000,2026-02-03 07:00:00,10535,1770102900000,2026-02-03 07:15:00,780.16,10581,1770145200000,2026-02-03 19:00:00,737.12,47,783.78,736.28,0.464,5.624,-5.517,lose
57,BNBUSDT,SELL,10581,1770144300000,2026-02-03 18:45:00,10582,1770145200000,2026-02-03 19:00:00,737.12,10864,1770399900000,2026-02-06 17:45:00,665.07,283,572.0,775.97,22.401,5.271,9.775,win
58,BNBUSDT,BUY,10864,1770399000000,2026-02-06 17:30:00,10865,1770399900000,2026-02-06 17:45:00,665.07,10929,1770458400000,2026-02-07 10:00:00,636.24,65,668.49,632.15,0.514,4.95,-4.335,lose
59,BNBUSDT,SELL,10929,1770457500000,2026-02-07 09:45:00,10930,1770458400000,2026-02-07 10:00:00,636.24,11388,1770871500000,2026-02-12 04:45:00,615.58,459,587.03,655.53,7.735,3.032,3.247,win
60,BNBUSDT,BUY,11388,1770870600000,2026-02-12 04:30:00,11389,1770871500000,2026-02-12 04:45:00,615.58,11491,1770964200000,2026-02-13 06:30:00,593.18,103,620.79,592.3,0.846,3.782,-3.639,lose
61,BNBUSDT,SELL,11491,1770963300000,2026-02-13 06:15:00,11492,1770964200000,2026-02-13 06:30:00,593.18,11537,1771005600000,2026-02-13 18:00:00,615.9,46,592.58,619.17,0.101,4.381,-3.83,lose
62,BNBUSDT,BUY,11537,1771004700000,2026-02-13 17:45:00,11538,1771005600000,2026-02-13 18:00:00,615.9,11729,1771178400000,2026-02-15 18:00:00,613.92,192,642.7,610.05,4.351,0.95,-0.321,win
63,BNBUSDT,SELL,11729,1771177500000,2026-02-15 17:45:00,11730,1771178400000,2026-02-15 18:00:00,613.92,11852,1771289100000,2026-02-17 00:45:00,626.46,123,604.2,631.29,1.583,2.829,-2.043,lose
64,BNBUSDT,BUY,11852,1771288200000,2026-02-17 00:30:00,11853,1771289100000,2026-02-17 00:45:00,626.46,11920,1771350300000,2026-02-17 17:45:00,613.06,68,632.0,609.21,0.884,2.754,-2.139,lose
65,BNBUSDT,SELL,11920,1771349400000,2026-02-17 17:30:00,11921,1771350300000,2026-02-17 17:45:00,613.06,12204,1771605900000,2026-02-20 16:45:00,617.6,284,595.26,626.88,2.903,2.254,-0.741,win
66,BNBUSDT,BUY,12204,1771605000000,2026-02-20 16:30:00,12205,1771605900000,2026-02-20 16:45:00,617.6,12353,1771740000000,2026-02-22 06:00:00,619.71,149,635.12,616.08,2.837,0.246,0.342,win
67,BNBUSDT,SELL,12353,1771739100000,2026-02-22 05:45:00,12354,1771740000000,2026-02-22 06:00:00,619.71,12480,1771854300000,2026-02-23 13:45:00,611.82,127,582.77,625.0,5.961,0.854,1.273,win
68,BNBUSDT,BUY,12480,1771853400000,2026-02-23 13:30:00,12481,1771854300000,2026-02-23 13:45:00,611.82,12538,1771906500000,2026-02-24 04:15:00,589.62,58,611.98,589.53,0.026,3.643,-3.629,lose
69,BNBUSDT,SELL,12538,1771905600000,2026-02-24 04:00:00,12539,1771906500000,2026-02-24 04:15:00,589.62,12635,1771993800000,2026-02-25 04:30:00,595.22,97,576.61,601.99,2.207,2.098,-0.95,win
70,BNBUSDT,BUY,12635,1771992900000,2026-02-25 04:15:00,12636,1771993800000,2026-02-25 04:30:00,595.22,12858,1772194500000,2026-02-27 12:15:00,614.7,223,641.12,589.55,7.711,0.953,3.273,win
71,BNBUSDT,SELL,12858,1772193600000,2026-02-27 12:00:00,12859,1772194500000,2026-02-27 12:15:00,614.7,12992,1772315100000,2026-02-28 21:45:00,617.13,134,588.39,619.5,4.28,0.781,-0.395,win
72,BNBUSDT,BUY,12992,1772314200000,2026-02-28 21:30:00,12993,1772315100000,2026-02-28 21:45:00,617.13,13237,1772535600000,2026-03-03 11:00:00,625.46,245,653.44,611.13,5.884,0.972,1.35,win
73,BNBUSDT,SELL,13237,1772534700000,2026-03-03 10:45:00,13238,1772535600000,2026-03-03 11:00:00,625.46,13326,1772615700000,2026-03-04 09:15:00,652.08,89,620.6,654.52,0.777,4.646,-4.256,lose
74,BNBUSDT,BUY,13326,1772614800000,2026-03-04 09:00:00,13327,1772615700000,2026-03-04 09:15:00,652.08,13505,1772776800000,2026-03-06 06:00:00,644.79,179,666.43,641.12,2.201,1.681,-1.118,win
75,BNBUSDT,SELL,13505,1772775900000,2026-03-06 05:45:00,13506,1772776800000,2026-03-06 06:00:00,644.79,13814,1773054900000,2026-03-09 11:15:00,627.27,309,607.56,647.96,5.774,0.492,2.717,win
76,BNBUSDT,BUY,13814,1773054000000,2026-03-09 11:00:00,13815,1773054900000,2026-03-09 11:15:00,627.27,14253,1773450000000,2026-03-14 01:00:00,653.16,439,679.59,624.09,8.341,0.507,4.127,win
77,BNBUSDT,SELL,14253,1773449100000,2026-03-14 00:45:00,14254,1773450000000,2026-03-14 01:00:00,653.16,14367,1773552600000,2026-03-15 05:30:00,659.88,114,649.97,661.24,0.488,1.237,-1.029,lose
78,BNBUSDT,BUY,14367,1773551700000,2026-03-15 05:15:00,14368,1773552600000,2026-03-15 05:30:00,659.88,14592,1773755100000,2026-03-17 13:45:00,665.98,225,687.86,656.64,4.24,0.491,0.924,win
79,BNBUSDT,SELL,14592,1773754200000,2026-03-17 13:30:00,14593,1773755100000,2026-03-17 13:45:00,665.98,15165,1774270800000,2026-03-23 13:00:00,644.92,573,620.0,676.28,6.904,1.547,3.162,win
80,BNBUSDT,BUY,15165,1774269900000,2026-03-23 12:45:00,15166,1774270800000,2026-03-23 13:00:00,644.92,15233,1774332000000,2026-03-24 06:00:00,629.24,68,649.43,627.13,0.699,2.758,-2.431,lose
81,BNBUSDT,SELL,15233,1774331100000,2026-03-24 05:45:00,15234,1774332000000,2026-03-24 06:00:00,629.24,15316,1774406700000,2026-03-25 02:45:00,639.88,83,626.66,641.54,0.41,1.955,-1.691,lose
82,BNBUSDT,BUY,15316,1774405800000,2026-03-25 02:30:00,15317,1774406700000,2026-03-25 02:45:00,639.88,15428,1774507500000,2026-03-26 06:45:00,634.44,112,653.18,633.37,2.079,1.017,-0.85,win
83,BNBUSDT,SELL,15428,1774506600000,2026-03-26 06:30:00,15429,1774507500000,2026-03-26 06:45:00,634.44,15677,1774731600000,2026-03-28 21:00:00,617.71,249,605.48,635.9,4.565,0.23,2.637,win
84,BNBUSDT,BUY,15677,1774730700000,2026-03-28 20:45:00,15678,1774731600000,2026-03-28 21:00:00,617.71,15745,1774792800000,2026-03-29 14:00:00,610.06,68,617.88,609.63,0.028,1.308,-1.238,lose
85,BNBUSDT,SELL,15745,1774791900000,2026-03-29 13:45:00,15746,1774792800000,2026-03-29 14:00:00,610.06,15818,1774858500000,2026-03-30 08:15:00,620.16,73,596.01,620.48,2.303,1.708,-1.656,win
86,BNBUSDT,BUY,15818,1774857600000,2026-03-30 08:00:00,15819,1774858500000,2026-03-30 08:15:00,620.16,15919,1774949400000,2026-03-31 09:30:00,605.54,101,621.75,604.56,0.256,2.515,-2.357,lose
87,BNBUSDT,SELL,15919,1774948500000,2026-03-31 09:15:00,15920,1774949400000,2026-03-31 09:30:00,605.54,15973,1774998000000,2026-03-31 23:00:00,617.22,54,598.6,620.03,1.146,2.393,-1.929,lose
88,BNBUSDT,BUY,15973,1774997100000,2026-03-31 22:45:00,15974,1774998000000,2026-03-31 23:00:00,617.22,16083,1775097000000,2026-04-02 02:30:00,599.91,110,622.66,599.15,0.881,2.928,-2.805,lose
89,BNBUSDT,SELL,16083,1775096100000,2026-04-02 02:15:00,16084,1775097000000,2026-04-02 02:30:00,599.91,16286,1775279700000,2026-04-04 05:15:00,588.99,203,570.71,601.33,4.867,0.237,1.82,win
90,BNBUSDT,BUY,16286,1775278800000,2026-04-04 05:00:00,16287,1775279700000,2026-04-04 05:15:00,588.99,16561,1775527200000,2026-04-07 02:00:00,597.46,275,610.8,587.27,3.703,0.292,1.438,win
91,BNBUSDT,SELL,16561,1775526300000,2026-04-07 01:45:00,16562,1775527200000,2026-04-07 02:00:00,597.46,16638,1775596500000,2026-04-07 21:15:00,612.19,77,592.22,613.99,0.877,2.767,-2.465,lose
92,BNBUSDT,BUY,16638,1775595600000,2026-04-07 21:00:00,16639,1775596500000,2026-04-07 21:15:00,612.19,16716,1775666700000,2026-04-08 16:45:00,606.41,78,625.38,601.46,2.155,1.753,-0.944,win
