entry_price,exit_price,entry_bar,exit_bar,duration_bars,exit_reason,max_roe_pct,max_sl_pct,gross_pnl_pct,fee_pct,net_pnl_pct,net_profit_usd,is_win,symbol,strategy_mode,trade_type,direction,signal_bar,signal_datetime
70221.5,68641.0,4954,5390,437,REVERSE_SIGNAL,4.16,0.403,2.251,0.1,2.151,21.51,True,BTCUSDT,2,TREND,SELL,4953,2026-03-21 17:05:00
68641.0,67769.7,5391,5413,23,REVERSE_SIGNAL,1.725,0.337,1.269,0.1,1.169,11.69,True,BTCUSDT,2,FADE,SELL,5390,2026-03-23 05:30:00
67769.7,68560.2779,5414,5422,9,SL,0.045,1.299,-1.167,0.1,-1.267,-12.67,False,BTCUSDT,2,TREND,SELL,5413,2026-03-23 07:25:00
70932.6,70170.5,5459,5672,214,REVERSE_SIGNAL,1.817,1.208,1.074,0.1,0.974,9.74,True,BTCUSDT,2,FADE,SELL,5458,2026-03-23 11:10:00
70170.5,70837.1,5673,5703,31,REVERSE_SIGNAL,1.182,0.135,0.95,0.1,0.85,8.5,True,BTCUSDT,2,FADE,BUY,5672,2026-03-24 05:00:00
70837.1,70284.5,5704,5781,78,REVERSE_SIGNAL,1.34,0.763,0.78,0.1,0.68,6.8,True,BTCUSDT,2,FADE,SELL,5703,2026-03-24 07:35:00
70284.5,70478.3,5782,5877,96,REVERSE_SIGNAL,1.992,0.338,-0.276,0.1,-0.376,-3.76,False,BTCUSDT,2,TREND,SELL,5781,2026-03-24 14:05:00
70478.3,70935.3,5878,6121,244,REVERSE_SIGNAL,0.559,2.159,-0.648,0.1,-0.748,-7.48,False,BTCUSDT,2,FADE,SELL,5877,2026-03-24 22:05:00
70935.3,68807.241,6122,6370,249,SL,0.946,3.001,-3.0,0.1,-3.1,-31.0,False,BTCUSDT,2,FADE,BUY,6121,2026-03-25 18:25:00
66395.6,66352.5,6775,7045,271,REVERSE_SIGNAL,0.765,1.338,0.065,0.1,-0.035,-0.35,False,BTCUSDT,2,FADE,SELL,6774,2026-03-28 00:50:00
66352.5,66879.3,7046,7102,57,REVERSE_SIGNAL,1.127,0.176,0.794,0.1,0.694,6.94,True,BTCUSDT,2,FADE,BUY,7045,2026-03-28 23:25:00
66879.3,66576.2981,7103,7117,15,SL,0.0,0.46,-0.453,0.1,-0.553,-5.53,False,BTCUSDT,2,TREND,BUY,7102,2026-03-29 04:10:00
66425.0,67193.5,7241,7382,142,REVERSE_SIGNAL,1.6,2.268,1.157,0.1,1.057,10.57,True,BTCUSDT,2,FADE,BUY,7240,2026-03-29 15:40:00
67193.5,66817.8,7383,7548,166,REVERSE_SIGNAL,1.421,0.619,-0.559,0.1,-0.659,-6.59,False,BTCUSDT,2,TREND,BUY,7382,2026-03-30 03:30:00
66817.8,67752.6178,7549,7644,96,SL,0.924,1.437,-1.399,0.1,-1.499,-14.99,False,BTCUSDT,2,TREND,SELL,7548,2026-03-30 17:20:00
67743.0,66828.4,7646,7736,91,REVERSE_SIGNAL,1.606,0.936,1.35,0.1,1.25,12.5,True,BTCUSDT,2,FADE,SELL,7645,2026-03-31 01:25:00
66828.4,67571.304,7737,7799,63,SL,1.332,1.403,-1.112,0.1,-1.212,-12.12,False,BTCUSDT,2,TREND,SELL,7736,2026-03-31 09:00:00
67692.7,66576.8122,7802,7806,5,SL,0.029,1.867,-1.648,0.1,-1.748,-17.48,False,BTCUSDT,2,TREND,BUY,7801,2026-03-31 14:25:00
68060.4,67126.6,8138,8404,267,REVERSE_SIGNAL,3.503,0.85,1.372,0.1,1.272,12.72,True,BTCUSDT,2,TREND,SELL,8137,2026-04-01 18:25:00
67126.6,66555.0,8405,8537,133,REVERSE_SIGNAL,0.407,1.321,-0.852,0.1,-0.952,-9.52,False,BTCUSDT,2,TREND,BUY,8404,2026-04-02 16:40:00
