trade_idx,datetime,symbol,trade_type,direction,entry_price,exit_price,exit_reason,duration_bars,pos_size_usd,leverage_used,sl_pct,net_pnl_pct,pnl_usd,is_win,equity_after,drawdown_pct
1003,2026-06-09 05:30:00,APTUSDT,TREND,BUY,0.6697,0.6463,SL,127,71961.06639881186,0.2585983966899405,3.8670000000000004,-3.6,-2590.5983903572273,False,275682.8453738483,1.04995344384599
1004,2026-06-09 05:35:00,SOLUSDT,TREND,BUY,67.19,65.81,REVERSE_SIGNAL,92,129550.20929222195,0.46992481203007525,2.128,-2.154,-2790.511508154461,False,272892.3338656938,2.051543670734876
1005,2026-06-09 05:40:00,TIAUSDT,TREND,BUY,0.3197,0.3261,TP,89,181928.22257712923,0.6666666666666667,1.5,1.9,3456.6362289654553,True,276348.9700946593,0.8108632238975091
1006,2026-06-09 05:55:00,NEARUSDT,TREND,BUY,2.179,2.0389,SL,122,40964.86363691955,0.14823599169878446,6.746,-6.528,-2674.186298218108,False,273674.7837964412,1.7707011795369882
1007,2026-06-09 06:55:00,AVAXUSDT,FADE,SELL,6.7816,6.646,TP,86,182449.85586429416,0.6666666666666667,1.5,1.93,3521.282218180877,True,277196.0660146221,0.5068175347136936
1008,2026-06-09 07:10:00,RENDERUSDT,FADE,SELL,1.6565,1.6234,TP,34,184797.3773430814,0.6666666666666666,1.5,1.93,3566.589382721471,True,280762.65539734357,0.0
1009,2026-06-09 07:40:00,OPUSDT,TREND,BUY,0.0964,0.093,SL,82,79603.81496947649,0.28352707683583783,3.527,-3.6,-2865.737338901154,False,277896.9180584424,1.0206974766090142
1010,2026-06-09 09:00:00,INJUSDT,TREND,BUY,5.72,5.8344,TP,61,182706.71798714163,0.6574621959237343,1.521,1.9,3471.4276417556907,True,281368.3457001981,0.0
1011,2026-06-09 14:15:00,DOGEUSDT,TREND,SELL,0.0849,0.0832,TP,28,187578.8971334654,0.6666666666666666,1.5,1.9,3563.9990455358425,True,284932.34474573395,0.0
1012,2026-06-09 14:20:00,AVAXUSDT,TREND,SELL,6.594,6.4621,TP,27,189954.89649715598,0.6666666666666667,1.5,1.9,3609.1430334459633,True,288541.48777917994,0.0
1013,2026-06-09 15:30:00,ATOMUSDT,TREND,BUY,1.781,1.7187,SL,13,74481.54046958697,0.25813113061435206,3.8740000000000006,-3.6,-2681.335456905131,False,285860.1523222748,0.9292720702116671
1014,2026-06-09 15:30:00,RENDERUSDT,TREND,SELL,1.598,1.566,TP,13,114344.06092890992,0.4,2.5,1.9,2172.5371576492885,True,288032.6894799241,0.17633453794527498
1015,2026-06-09 16:05:00,NEARUSDT,TREND,SELL,2.071,2.1933,SL,41,40855.70063545023,0.14184397163120568,7.049999999999999,-6.005,-2453.3848231587863,False,285579.3046567653,1.0266056175192322
1016,2026-06-09 16:10:00,OPUSDT,FADE,BUY,0.0922,0.0941,TP,13,190386.2031045102,0.6666666666666666,1.5,1.93,3674.4537199170463,True,289253.75837668235,0.0
1017,2026-06-09 16:15:00,APTUSDT,FADE,BUY,0.64,0.6528,TP,1,192835.83891778823,0.6666666666666666,1.5,1.93,3721.7316911133125,True,292975.4900677957,0.0
1018,2026-06-09 16:25:00,INJUSDT,FADE,BUY,5.4165,5.5248,TP,7,195316.99337853046,0.6666666666666667,1.5,1.93,3769.617972205637,True,296745.1080400013,0.0
1019,2026-06-09 22:40:00,TIAUSDT,FADE,SELL,0.3283,0.3217,TP,17,197830.07202666753,0.6666666666666666,1.5,1.93,3818.120390114683,True,300563.22843011597,0.0
1020,2026-06-10 00:55:00,SEIUSDT,FADE,SELL,0.0487,0.0477,TP,16,200375.48562007732,0.6666666666666667,1.5,1.93,3867.246872467492,True,304430.4753025835,0.0
1021,2026-06-10 03:55:00,SEIUSDT,TREND,SELL,0.0474,0.0464,TP,90,202953.65020172234,0.6666666666666667,1.5,1.9,3856.1193538327243,True,308286.5946564162,0.0
1022,2026-06-10 05:10:00,NEARUSDT,TREND,SELL,2.086,2.0443,TP,7,205524.39643761082,0.6666666666666667,1.5,1.9,3904.9635323146053,True,312191.5581887308,0.0
1023,2026-06-10 09:35:00,OPUSDT,TREND,SELL,0.0946,0.0927,TP,22,208127.70545915386,0.6666666666666666,1.5,1.9,3954.426403723923,True,316145.98459245474,0.0
1024,2026-06-10 13:45:00,RENDERUSDT,TREND,BUY,1.603,1.5227,SL,73,60333.203166499,0.19083969465648856,5.24,-5.109,-3082.4233497764335,False,313063.5612426783,0.9749999999999962
1025,2026-06-10 14:00:00,ADAUSDT,TREND,BUY,0.1647,0.1589,SL,86,83173.10341197618,0.26567481402763016,3.764,-3.6,-2994.2317228311426,False,310069.3295198472,1.9221041445270957
1026,2026-06-10 15:55:00,AVAXUSDT,TREND,BUY,6.574,6.374,REVERSE_SIGNAL,68,91411.9485612757,0.294811320754717,3.392,-3.142,-2872.163423795282,False,307197.1660960519,2.8305969180468264
1027,2026-06-10 16:05:00,INJUSDT,TREND,BUY,5.326,5.1396,SL,10,85665.69048969659,0.27886224205242616,3.5859999999999994,-3.6,-3083.9648576290774,False,304113.20123842283,3.8060845117306896
1028,2026-06-10 19:50:00,TIAUSDT,TREND,SELL,0.3079,0.3017,TP,16,202742.13415894855,0.6666666666666666,1.5,1.9,3852.1005490200223,True,307965.3017874429,2.58762824887927
1029,2026-06-10 20:05:00,RENDERUSDT,TREND,SELL,1.513,1.4827,TP,21,205310.20119162858,0.6666666666666666,1.5,1.9,3900.893822640943,True,311866.1956100838,1.3537382066984094
1030,2026-06-10 20:15:00,SEIUSDT,TREND,SELL,0.0465,0.0456,TP,24,207910.79707338923,0.6666666666666667,1.5,1.9,3950.305144394395,True,315816.5007544782,0.10421889064992143
1031,2026-06-10 20:35:00,NEARUSDT,TREND,SELL,2.001,1.961,TP,7,210544.33383631884,0.6666666666666667,1.5,1.9,4000.342342890058,True,319816.84309736826,0.0
1032,2026-06-10 20:50:00,ATOMUSDT,TREND,SELL,1.746,1.802,REVERSE_SIGNAL,51,99724.61587071039,0.3118178983473651,3.2070000000000003,-3.307,-3297.8930468443928,False,316518.95005052385,1.0311817898347393
1033,2026-06-10 20:55:00,ARBUSDT,TREND,SELL,0.0771,0.0755,TP,12,211012.63336701592,0.6666666666666667,1.5,1.9,4009.2400339733026,True,320528.19008449715,0.0
