symbol,direction,signal_datetime,entry_price,max_roe_pct,max_stoploss_pct,duration_bars,atr_pct,trail_gap_pct,is_low_volatility,is_tight_gap,has_counter_fvg,has_recent_choch,has_recent_bos,quick_loss_under_10_bars
BNBUSDT,BUY,2026-04-29 10:15:00,629.8,0.016,2.247,22,0.177,0.354,True,True,True,False,False,False
BNBUSDT,BUY,2026-05-01 14:00:00,622.44,0.09,1.356,73,0.195,0.39,True,True,False,False,False,False
BNBUSDT,SELL,2026-05-10 03:30:00,648.0,0.056,1.173,48,0.172,0.344,True,True,True,False,False,False
BNBUSDT,SELL,2026-05-14 04:15:00,667.88,0.157,3.072,51,0.335,0.67,True,False,False,False,False,False
BNBUSDT,SELL,2026-06-25 13:45:00,542.17,0.0,5.27,413,0.706,1.413,False,False,True,False,False,False
BNBUSDT,BUY,2026-07-09 06:45:00,575.14,1.44,1.181,262,0.288,0.577,True,False,False,False,False,False
BNBUSDT,BUY,2026-07-20 18:15:00,574.72,0.954,1.042,143,0.267,0.533,True,False,True,False,True,False
BNBUSDT,SELL,2026-08-01 10:00:00,582.9,1.578,0.482,75,0.205,0.41,True,True,False,False,False,False
BNBUSDT,SELL,2026-08-10 13:45:00,600.6,0.498,1.307,81,0.204,0.407,True,True,False,False,False,False
BNBUSDT,BUY,2026-08-15 04:45:00,611.89,0.217,0.757,82,0.152,0.303,True,True,False,False,False,False
BTCUSDT,BUY,2025-10-21 15:15:00,112899.9,0.921,4.537,38,0.671,1.343,False,False,False,False,False,False
BTCUSDT,BUY,2025-11-05 18:00:00,103889.9,0.585,3.515,94,0.434,0.869,False,False,False,False,False,False
BTCUSDT,SELL,2025-11-09 09:00:00,102009.2,0.541,1.982,24,0.186,0.371,True,True,True,False,False,False
BTCUSDT,SELL,2025-11-11 15:45:00,103417.2,0.984,1.688,79,0.371,0.742,False,False,False,False,False,False
BTCUSDT,BUY,2025-11-12 11:30:00,104708.7,0.562,3.279,19,0.282,0.564,True,False,True,False,False,False
BTCUSDT,BUY,2025-12-09 16:15:00,93344.8,1.296,2.876,132,0.52,1.04,False,False,False,False,False,False
