symbol,orig_direction,rev_direction,signal_index,entry_index,entry_price,exit_price,duration_bars,rev_max_roe_pct,rev_max_sl_pct,rev_net_pnl_pct,rev_label
BTCUSDT,SELL,BUY,18146,18147,77483.0,77957.0,261,1.504,0.752,0.612,lose
BTCUSDT,BUY,SELL,18406,18407,77967.4,77763.4,103,0.717,1.908,0.262,lose
BTCUSDT,SELL,BUY,18508,18509,77575.5,77254.7,181,0.846,2.501,-0.414,lose
BTCUSDT,BUY,SELL,18688,18689,77203.3,75859.1,44,2.008,0.868,1.741,win
BTCUSDT,SELL,BUY,18731,18732,75810.0,77116.9,141,2.125,1.243,1.724,win
BTCUSDT,SELL,BUY,19958,19959,80542.3,81245.6,211,0.904,2.27,0.873,lose
BTCUSDT,BUY,SELL,20168,20169,80979.9,79226.1,90,2.927,1.258,2.166,win
BTCUSDT,SELL,BUY,20257,20258,78727.8,77450.0,464,1.022,3.447,-1.623,lose
BTCUSDT,BUY,SELL,20720,20721,77478.3,76756.5,217,1.227,0.906,0.932,lose
BTCUSDT,SELL,BUY,21270,21271,76530.0,73839.9,434,2.022,5.35,-3.515,win
BTCUSDT,BUY,SELL,21703,21704,73908.6,73160.0,156,1.087,0.462,1.013,lose
BTCUSDT,SELL,BUY,22661,22662,61511.6,62754.5,157,2.293,1.333,2.021,win
BTCUSDT,BUY,SELL,22817,22818,62581.7,63770.3,342,0.426,3.446,-1.899,lose
BTCUSDT,SELL,BUY,23366,23367,65730.4,63372.3,302,1.048,5.322,-3.588,lose
BTCUSDT,SELL,BUY,24193,24194,58248.4,60589.0,196,4.267,0.0,4.018,win
BTCUSDT,BUY,SELL,24777,24778,60118.6,61614.7,469,0.937,6.441,-2.489,lose
BTCUSDT,SELL,BUY,25245,25246,61733.6,63774.0,23,3.635,0.707,3.305,win
BTCUSDT,BUY,SELL,25522,25523,62979.6,63749.0,274,0.875,2.7,-1.222,lose
BTCUSDT,SELL,BUY,25795,25796,63638.6,63930.0,220,1.215,2.88,0.458,lose
